"Text","TC name","text ID","typ_ID","right visible:"," ","Level 0","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9","Level 10","Level 11","Level 12","Level 13","Level 14","Level 15","right active:","Level 0","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9","Level 10","Level 11","Level 12","Level 13","Level 14","Level 15","state internal:","validation","protocol","PDA","signature required","operate at <> 0 degree","Force to format value","No safety check","phys. min","phys. max","read/write","Format"
"CODEREADER LEAFLET UNDERSIDE","CodeLeafUnderside_SET_H",27216,"Notiz",235,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"w","f"
"Leaflet code 1 height","CodeLeafUnderside_SET_Height",17489,"Notiz",236,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Leaflet code 1 width","CodeLeafUnderside_SET_Width",12229,"Notiz",237,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Leaflet code  length","CodeLeafUnderside_SET_Length",21281,"Notiz",238,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"CODEREADER LABEL","CodeLabel_SET_H",27783,"Notiz",380,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"w","f"
"Label code height","CodeLabel_SET_CodeHeight",15272,"Notiz",381,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Label code length","CodeLabel_SET_CodeLength",15271,"Notiz",382,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"

Infeed conveyor
"Delay Time Blister pusher 1","InFeedConveyor_1_CON_SEC_DelayTimePusher",16045,"Config",9,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,300,"w","f"
"Duration Blister pusher 1","InFeedConveyor_1_CON_SEC_TimePusher",16046,"Config",10,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,300,"w","f"
